"Category","OldName","NewName","Status"
"Autres produits","6.png","015-Lampe-solaire-portable-0000.png","RenamedPrice0000"
"Autres produits","92ee2b5409dda3288d358bdba98f2b83.png","016-Bouteille-isotherme-0000.png","RenamedPrice0000"
"Autres produits","e8bd5a697ae8f9d24eda37e9b1ad35fc.png","017-Matelas-gonflable-voiture-0000.png","RenamedPrice0000"
"Autres produits","f6ff0f162c8ac7951d0901560ee0dbca.jpg","018-Matelas-gonflable-double-0000.jpg","RenamedPrice0000"
"Beaute","817aca6ac8162b0b799d048562f9a8df.png","014-Organisateur-cosmetique-rotatif-360-0000.png","RenamedPrice0000"
"Cuisine","1.png","039-Moulin-multifonction-0000.png","RenamedPrice0000"
"Cuisine","3.png","040-Batteur-a-oeufs-electrique-sans-fil-0000.png","RenamedPrice0000"
"Eclairage","de7cf36198757beb5e9aebbcea7192c0.png","025-Trepied-leger-multifonction-0000.png","RenamedPrice0000"
"Maison","2.png","029-Balai-rotatif-lavage-essorage-0000.png","RenamedPrice0000"
"Maison","54b6683d79c429977e8db0867062c477.png","030-Brosse-de-nettoyage-electrique-7-en-1-0000.png","RenamedPrice0000"
"Maison","8713ac2917e1a3ea564769b3a2752c46.png","031-Lampe-de-bureau-led-portable-0000.png","RenamedPrice0000"
"Maison","eb129b1c462c0ba4c8ad22dcf1eaea66.png","032-Mini-climatiseur-portable-0000.png","RenamedPrice0000"
"Rangement","1160b239e60ac84b8e7c89c5f46712eb.png","023-Petite-table-d-appoint-elegante-fonctionnelle-0000.png","RenamedPrice0000"
"Rangement","13de1e877b2cc833c20b16cb5a5d885e.png","024-Porte-manteau-a-roulettes-360-0000.png","RenamedPrice0000"
"Rangement","1ccd797bc06bb601a93bdc0483599e21.png","025-Etagere-a-chaussures-20-paires-0000.png","RenamedPrice0000"
"Rangement","5.png","026-Etagere-a-chaussures-20-paires-2-0000.png","RenamedPrice0000"
"Rangement","6b81228824351fdaac354af24eccbfb9.png","027-Etagere-de-bureau-multifonction-0000.png","RenamedPrice0000"
"Rangement","7a6c1842618a03e04172f4660c2d2323.png","028-Etagere-de-rangement-compacte-0000.png","RenamedPrice0000"
"Sante-Bien-etre","4a313daa1992cdf78be1f4d25f0d0439.png","016-Masseur-corporel-6-en-1-0000.png","RenamedPrice0000"
